"","REF_AREA","Reference.area","ACTIVITY","Economic.activity","TIME_PERIOD","OBS_VALUE","OBS_STATUS","Observation.status","CURRENCY","Currency"
"212","MLT","Malta","A03","Fishing and aquaculture",2018,31.627,"A","Normal value","EUR","Euro"
"213","MLT","Malta","A03","Fishing and aquaculture",2020,3.043,"A","Normal value","EUR","Euro"
"214","LVA","Latvia","A","Agriculture, forestry and fishing",1996,316.541,"A","Normal value","EUR","Euro"
"215","LVA","Latvia","A","Agriculture, forestry and fishing",1998,229.793,"A","Normal value","EUR","Euro"
"216","LVA","Latvia","A","Agriculture, forestry and fishing",2000,306.7,"A","Normal value","EUR","Euro"
"217","LVA","Latvia","A","Agriculture, forestry and fishing",2002,378.189,"A","Normal value","EUR","Euro"
"218","LVA","Latvia","A","Agriculture, forestry and fishing",2004,465.719,"A","Normal value","EUR","Euro"
"219","LVA","Latvia","A","Agriculture, forestry and fishing",2006,560.026,"A","Normal value","EUR","Euro"
"220","LVA","Latvia","A","Agriculture, forestry and fishing",2008,724.755,"A","Normal value","EUR","Euro"
"221","LVA","Latvia","A","Agriculture, forestry and fishing",2010,733.88,"A","Normal value","EUR","Euro"
"222","LVA","Latvia","A","Agriculture, forestry and fishing",2012,757.434,"A","Normal value","EUR","Euro"
"223","LVA","Latvia","A","Agriculture, forestry and fishing",2014,836.538,"A","Normal value","EUR","Euro"
"224","LVA","Latvia","A","Agriculture, forestry and fishing",2016,826.989,"A","Normal value","EUR","Euro"
"225","LVA","Latvia","A","Agriculture, forestry and fishing",2018,1048.117,"A","Normal value","EUR","Euro"
"226","LVA","Latvia","A","Agriculture, forestry and fishing",2020,1204.933,"A","Normal value","EUR","Euro"
"227","LVA","Latvia","A","Agriculture, forestry and fishing",2022,1952.044,"A","Normal value","EUR","Euro"
"228","CAN","Canada","A03","Fishing and aquaculture",2008,1253,"A","Normal value","CAD","Canadian dollar"
"229","CAN","Canada","A03","Fishing and aquaculture",2010,1404,"A","Normal value","CAD","Canadian dollar"
"230","CAN","Canada","A03","Fishing and aquaculture",2012,1269,"A","Normal value","CAD","Canadian dollar"
"231","CAN","Canada","A03","Fishing and aquaculture",2014,1656,"A","Normal value","CAD","Canadian dollar"
"232","CAN","Canada","A03","Fishing and aquaculture",2016,2028,"A","Normal value","CAD","Canadian dollar"
"233","CAN","Canada","A03","Fishing and aquaculture",2018,2299,"A","Normal value","CAD","Canadian dollar"
"234","CAN","Canada","A03","Fishing and aquaculture",2020,1509,"A","Normal value","CAD","Canadian dollar"
"235","HUN","Hungary","A03","Fishing and aquaculture",1996,1297,"A","Normal value","HUF","Forint"
"236","HUN","Hungary","A03","Fishing and aquaculture",1998,2160,"A","Normal value","HUF","Forint"
"237","HUN","Hungary","A03","Fishing and aquaculture",2000,1832,"A","Normal value","HUF","Forint"
"238","HUN","Hungary","A03","Fishing and aquaculture",2002,3363,"A","Normal value","HUF","Forint"
"239","HUN","Hungary","A03","Fishing and aquaculture",2004,3527,"A","Normal value","HUF","Forint"
"240","HUN","Hungary","A03","Fishing and aquaculture",2006,3203,"A","Normal value","HUF","Forint"
"241","HUN","Hungary","A03","Fishing and aquaculture",2008,3798,"A","Normal value","HUF","Forint"
"242","HUN","Hungary","A03","Fishing and aquaculture",2010,4161,"A","Normal value","HUF","Forint"
"243","HUN","Hungary","A03","Fishing and aquaculture",2012,3557,"A","Normal value","HUF","Forint"
"244","HUN","Hungary","A03","Fishing and aquaculture",2014,4664,"A","Normal value","HUF","Forint"
