"","REF_AREA","Reference.area","ACTIVITY","Economic.activity","TIME_PERIOD","OBS_VALUE","OBS_STATUS","Observation.status","CURRENCY","Currency"
"215","NOR","Norway","H50","Water transport",1984,11868,"A","Normal value","NOK","Norwegian krone"
"216","NOR","Norway","H50","Water transport",1986,10271,"A","Normal value","NOK","Norwegian krone"
"217","NOR","Norway","H50","Water transport",1988,10935,"A","Normal value","NOK","Norwegian krone"
"218","NOR","Norway","H50","Water transport",1990,17832,"A","Normal value","NOK","Norwegian krone"
"219","NOR","Norway","H50","Water transport",1992,17453,"A","Normal value","NOK","Norwegian krone"
"220","NOR","Norway","H50","Water transport",1994,19146,"A","Normal value","NOK","Norwegian krone"
"221","NOR","Norway","H50","Water transport",1996,18861,"A","Normal value","NOK","Norwegian krone"
"222","NOR","Norway","H50","Water transport",1998,22026,"A","Normal value","NOK","Norwegian krone"
"223","NOR","Norway","H50","Water transport",2000,27952,"A","Normal value","NOK","Norwegian krone"
"224","NOR","Norway","H50","Water transport",2002,26189,"A","Normal value","NOK","Norwegian krone"
"225","NOR","Norway","H50","Water transport",2004,27882,"A","Normal value","NOK","Norwegian krone"
"226","NOR","Norway","H50","Water transport",2006,33860,"A","Normal value","NOK","Norwegian krone"
"227","NOR","Norway","H50","Water transport",2008,37904,"A","Normal value","NOK","Norwegian krone"
"228","NOR","Norway","H50","Water transport",2010,38269,"A","Normal value","NOK","Norwegian krone"
"229","NOR","Norway","H50","Water transport",2012,42395,"A","Normal value","NOK","Norwegian krone"
"230","NOR","Norway","H50","Water transport",2014,52663,"A","Normal value","NOK","Norwegian krone"
"231","NOR","Norway","H50","Water transport",2016,42436,"A","Normal value","NOK","Norwegian krone"
"232","NOR","Norway","H50","Water transport",2018,34126,"A","Normal value","NOK","Norwegian krone"
"233","NOR","Norway","H50","Water transport",2020,21061,"A","Normal value","NOK","Norwegian krone"
"234","EU27_2020","European Union (27 countries from 01/02/2020)","H50","Water transport",1995,12512.68,"A","Normal value","EUR","Euro"
"235","EU27_2020","European Union (27 countries from 01/02/2020)","H50","Water transport",1997,15689.715,"A","Normal value","EUR","Euro"
"236","EU27_2020","European Union (27 countries from 01/02/2020)","H50","Water transport",1999,16164.519,"A","Normal value","EUR","Euro"
"237","EU27_2020","European Union (27 countries from 01/02/2020)","H50","Water transport",2001,20937.878,"A","Normal value","EUR","Euro"
"238","EU27_2020","European Union (27 countries from 01/02/2020)","H50","Water transport",2003,21237.228,"A","Normal value","EUR","Euro"
"239","EU27_2020","European Union (27 countries from 01/02/2020)","H50","Water transport",2005,30616.944,"A","Normal value","EUR","Euro"
"240","EU27_2020","European Union (27 countries from 01/02/2020)","H50","Water transport",2007,30951.644,"A","Normal value","EUR","Euro"
"241","EU27_2020","European Union (27 countries from 01/02/2020)","H50","Water transport",2009,25713.734,"A","Normal value","EUR","Euro"
"242","EU27_2020","European Union (27 countries from 01/02/2020)","H50","Water transport",2011,26079.864,"A","Normal value","EUR","Euro"
"243","EU27_2020","European Union (27 countries from 01/02/2020)","H50","Water transport",2013,28237.749,"A","Normal value","EUR","Euro"
"244","EU27_2020","European Union (27 countries from 01/02/2020)","H50","Water transport",2015,29738.362,"A","Normal value","EUR","Euro"
"245","EU27_2020","European Union (27 countries from 01/02/2020)","H50","Water transport",2017,28126.645,"A","Normal value","EUR","Euro"
"246","EU27_2020","European Union (27 countries from 01/02/2020)","H50","Water transport",2019,28548.045,"A","Normal value","EUR","Euro"
"247","EU27_2020","European Union (27 countries from 01/02/2020)","H50","Water transport",2021,57181.472,"A","Normal value","EUR","Euro"
"248","ESP","Spain","H","Transportation and storage",1996,22917,"A","Normal value","EUR","Euro"
"249","ESP","Spain","H","Transportation and storage",1998,25206,"A","Normal value","EUR","Euro"
"250","ESP","Spain","H","Transportation and storage",2000,27988,"A","Normal value","EUR","Euro"
"251","ESP","Spain","H","Transportation and storage",2002,32494,"A","Normal value","EUR","Euro"
"252","ESP","Spain","H","Transportation and storage",2004,35846,"A","Normal value","EUR","Euro"
"253","ESP","Spain","H","Transportation and storage",2006,37948,"A","Normal value","EUR","Euro"
"254","ESP","Spain","H","Transportation and storage",2008,42316,"A","Normal value","EUR","Euro"
