"Country","Industry","Industry_simple","Code_num","Code_type","Code_length","Aggregate_level","GVA_abbrev","Units","GVA_total","Currency_ISO","Metric","Metric_type","Year","Base_year","GDP_annual","GDP_perc_norm","Source1","Source1_info","Confidence1","Notes","Source2"
"Canada","Copper, nickel, lead and zinc ore mining","Mining","21223","NAICS","5","4","5289","1000000","5.289e+09","CAD","GDP","Constant","2021","2017",NA,NA,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610043406&pickMembers%5B0%5D=2.1&pickMembers%5B1%5D=3.1&cubeTimeFrame.startYear=2018&cubeTimeFrame.endYear=2022&referencePeriods=20180101%2C20220101","Gross domestic product (GDP) at basic prices, by industry, annual average, industry detail (x 1,000,000)1, 2 > Chained (2017) prices","High","Chained 2017 dollars vs. Constant 2017 prices?",NA
"Canada","Copper, nickel, lead and zinc ore mining","Mining","21223","NAICS","5","4","4769","1000000","4.769e+09","CAD","GDP","Constant","2022","2017",NA,NA,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610043406&pickMembers%5B0%5D=2.1&pickMembers%5B1%5D=3.1&cubeTimeFrame.startYear=2018&cubeTimeFrame.endYear=2022&referencePeriods=20180101%2C20220101","Gross domestic product (GDP) at basic prices, by industry, annual average, industry detail (x 1,000,000)1, 2 > Chained (2017) prices","High","Chained 2017 dollars vs. Constant 2017 prices?",NA
"Chile","Minería (Cobre + Resto)","Mining","B",NA,"1","1","16.825","1000000000000","1.6825e+13","CLP","GVA","Current","2018","Current",NA,NA,"https://si3.bcentral.cl/estadisticas/Principal1/enlaces/Informes/AnuariosCCNN/anuario_CCNN_2022.html","1.9.# Aggregate account of production of economic activities at current prices, year","Medium","Mining is an aggregate of copper + rest
UNITS: ""miles de milliones"" on the data, but Billion doesn't make sense; using Trillion after checking annual GDP contr of large industries",NA
"Chile","Minería (Cobre + Resto)","Mining","B",NA,"1","1","16.13","1000000000000","1.613e+13","CLP","GVA","Current","2019","Current",NA,NA,"https://si3.bcentral.cl/estadisticas/Principal1/enlaces/Informes/AnuariosCCNN/anuario_CCNN_2022.html","1.9.# Aggregate account of production of economic activities at current prices, year","Medium","Mining is an aggregate of copper + rest
UNITS: ""miles de milliones"" on the data, but Billion doesn't make sense; using Trillion after checking annual GDP contr of large industries",NA
"Chile","Minería (Cobre + Resto)","Mining","B",NA,"1","1","23.43","1000000000000","2.343e+13","CLP","GVA","Current","2020","Current",NA,NA,"https://si3.bcentral.cl/estadisticas/Principal1/enlaces/Informes/AnuariosCCNN/anuario_CCNN_2022.html","1.9.# Aggregate account of production of economic activities at current prices, year","Medium","Mining is an aggregate of copper + rest
UNITS: ""miles de milliones"" on the data, but Billion doesn't make sense; using Trillion after checking annual GDP contr of large industries",NA
"Chile","Minería (Cobre + Resto)","Mining","B",NA,"1","1","34.501","1000000000000","3.4501e+13","CLP","GVA","Current","2021","Current",NA,NA,"https://si3.bcentral.cl/estadisticas/Principal1/enlaces/Informes/AnuariosCCNN/anuario_CCNN_2022.html","1.9.# Aggregate account of production of economic activities at current prices, year","Medium","Mining is an aggregate of copper + rest
UNITS: ""miles de milliones"" on the data, but Billion doesn't make sense; using Trillion after checking annual GDP contr of large industries",NA
"Chile","Minería (Cobre + Resto)","Mining","B",NA,"1","1","16.825","1000000000000","1.6825e+13","CLP","GVA","Constant","2018","2017",NA,NA,"https://si3.bcentral.cl/estadisticas/Principal1/enlaces/Informes/AnuariosCCNN/anuario_CCNN_2022.html","1.9.# Aggregate account of the production of economic activities, volume at prices of the chained previous year, Year","Medium","Mining is an aggregate of copper + rest
UNITS: ""miles de milliones"" on the data, but Billion doesn't make sense; using Trillion after checking annual GDP contr of large industries",NA
"Chile","Minería (Cobre + Resto)","Mining","B",NA,"1","1","16.206","1000000000000","1.6206e+13","CLP","GVA","Constant","2019","2018",NA,NA,"https://si3.bcentral.cl/estadisticas/Principal1/enlaces/Informes/AnuariosCCNN/anuario_CCNN_2022.html","1.9.# Aggregate account of the production of economic activities, volume at prices of the chained previous year, Year","Medium","Mining is an aggregate of copper + rest
UNITS: ""miles de milliones"" on the data, but Billion doesn't make sense; using Trillion after checking annual GDP contr of large industries",NA
"Chile","Minería (Cobre + Resto)","Mining","B",NA,"1","1","16.325","1000000000000","1.6325e+13","CLP","GVA","Constant","2020","2019",NA,NA,"https://si3.bcentral.cl/estadisticas/Principal1/enlaces/Informes/AnuariosCCNN/anuario_CCNN_2022.html","1.9.# Aggregate account of the production of economic activities, volume at prices of the chained previous year, Year","Medium","Mining is an aggregate of copper + rest
UNITS: ""miles de milliones"" on the data, but Billion doesn't make sense; using Trillion after checking annual GDP contr of large industries",NA
"Chile","Minería (Cobre + Resto)","Mining","B",NA,"1","1","16.07","1000000000000","1.607e+13","CLP","GVA","Constant","2021","2020",NA,NA,"https://si3.bcentral.cl/estadisticas/Principal1/enlaces/Informes/AnuariosCCNN/anuario_CCNN_2022.html","1.9.# Aggregate account of the production of economic activities, volume at prices of the chained previous year, Year","Medium","Mining is an aggregate of copper + rest
UNITS: ""miles de milliones"" on the data, but Billion doesn't make sense; using Trillion after checking annual GDP contr of large industries",NA
